Device : ;PAX1000IR2
Serial Number : ;M00693781
Firmware Version : ;1.0.13
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1345
Basic Sample Rate [Hz] : ;400
Operating Mode : ;1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-07-20 13:10:08.33;0.00:00:00:069;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08268;53.42;-0.21;94.94;0.68;94.93;12.09;11.48;0.6122;10.824;10.598;-2.131;0.36;-0.43;
2023-07-20 13:10:08.34;0.00:00:00:079;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08231;53.42;-0.21;94.94;0.68;94.93;12.09;11.48;0.6123;10.824;10.599;-2.130;0.36;-0.43;
2023-07-20 13:10:08.35;0.00:00:00:089;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08218;53.43;-0.21;94.95;0.68;94.94;12.09;11.48;0.6108;10.824;10.599;-2.141;0.36;-0.43;
2023-07-20 13:10:08.37;0.00:00:00:109;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08288;53.42;-0.21;94.95;0.69;94.94;12.09;11.48;0.611;10.824;10.598;-2.139;0.36;-0.43;
2023-07-20 13:10:08.38;0.00:00:00:119;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08261;53.42;-0.21;94.93;0.68;94.93;12.09;11.48;0.6123;10.824;10.598;-2.130;0.36;-0.43;
2023-07-20 13:10:08.40;0.00:00:00:139;-0.29;0.96;-0.01;12.09;-3.325;10.99;-0.0818;53.42;-0.20;94.94;0.68;94.93;12.09;11.48;0.6123;10.824;10.599;-2.130;0.36;-0.43;
2023-07-20 13:10:08.43;0.00:00:00:167;-0.29;0.96;-0.01;12.09;-3.327;10.99;-0.08276;53.42;-0.21;94.94;0.68;94.94;12.09;11.48;0.612;10.824;10.599;-2.133;0.36;-0.43;
2023-07-20 13:10:08.44;0.00:00:00:179;-0.29;0.96;-0.01;12.09;-3.327;10.99;-0.0824;53.43;-0.21;94.94;0.68;94.94;12.09;11.48;0.6112;10.824;10.599;-2.138;0.36;-0.43;
2023-07-20 13:10:08.47;0.00:00:00:209;-0.29;0.96;-0.01;12.09;-3.325;10.99;-0.08133;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6116;10.824;10.599;-2.135;0.36;-0.42;
2023-07-20 13:10:08.49;0.00:00:00:229;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08217;53.42;-0.21;94.93;0.68;94.93;12.09;11.48;0.6127;10.824;10.598;-2.127;0.36;-0.43;
2023-07-20 13:10:08.50;0.00:00:00:239;-0.29;0.96;-0.01;12.09;-3.325;10.99;-0.08118;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6115;10.824;10.599;-2.136;0.36;-0.42;
2023-07-20 13:10:08.52;0.00:00:00:260;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08162;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.6115;10.824;10.599;-2.136;0.36;-0.43;
2023-07-20 13:10:08.54;0.00:00:00:279;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08135;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6121;10.824;10.599;-2.132;0.36;-0.42;
2023-07-20 13:10:08.56;0.00:00:00:299;-0.29;0.96;-0.01;12.09;-3.325;10.99;-0.08211;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.6118;10.824;10.599;-2.134;0.36;-0.43;
2023-07-20 13:10:08.57;0.00:00:00:309;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08242;53.42;-0.21;94.94;0.68;94.94;12.09;11.48;0.612;10.824;10.599;-2.133;0.36;-0.43;
2023-07-20 13:10:08.59;0.00:00:00:329;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08328;53.42;-0.21;94.93;0.69;94.93;12.09;11.48;0.6123;10.824;10.598;-2.130;0.36;-0.43;
2023-07-20 13:10:08.62;0.00:00:00:357;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08301;53.42;-0.21;94.94;0.69;94.93;12.09;11.48;0.6122;10.824;10.599;-2.131;0.36;-0.43;
2023-07-20 13:10:08.65;0.00:00:00:388;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08249;53.42;-0.21;94.94;0.68;94.93;12.09;11.48;0.6122;10.824;10.599;-2.131;0.36;-0.43;
2023-07-20 13:10:08.66;0.00:00:00:399;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08236;53.42;-0.21;94.93;0.68;94.93;12.09;11.48;0.6124;10.824;10.599;-2.130;0.36;-0.43;
2023-07-20 13:10:08.68;0.00:00:00:419;-0.29;0.96;-0.01;12.09;-3.324;10.99;-0.0815;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6116;10.824;10.599;-2.135;0.36;-0.43;
2023-07-20 13:10:08.71;0.00:00:00:449;-0.29;0.96;-0.01;12.09;-3.326;10.99;-0.08192;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.612;10.824;10.599;-2.132;0.36;-0.43;
2023-07-20 13:10:08.74;0.00:00:00:479;-0.29;0.96;-0.01;12.09;-3.325;10.99;-0.08163;53.42;-0.20;94.95;0.68;94.95;12.09;11.48;0.6104;10.824;10.599;-2.144;0.36;-0.43;
2023-07-20 13:10:08.81;0.00:00:00:547;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08203;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.6113;10.824;10.598;-2.137;0.36;-0.43;
2023-07-20 13:10:08.82;0.00:00:00:559;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08288;53.42;-0.21;94.94;0.69;94.94;12.09;11.48;0.612;10.824;10.598;-2.133;0.36;-0.43;
2023-07-20 13:10:08.84;0.00:00:00:579;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08283;53.42;-0.21;94.93;0.69;94.93;12.09;11.48;0.6124;10.824;10.598;-2.130;0.36;-0.43;
2023-07-20 13:10:08.87;0.00:00:00:609;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08317;53.42;-0.21;94.94;0.69;94.93;12.09;11.48;0.6122;10.824;10.598;-2.131;0.36;-0.43;
2023-07-20 13:10:08.90;0.00:00:00:639;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08245;53.42;-0.21;94.93;0.68;94.93;12.09;11.48;0.6123;10.824;10.598;-2.131;0.36;-0.43;
2023-07-20 13:10:08.93;0.00:00:00:669;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08153;53.42;-0.20;94.95;0.67;94.95;12.09;11.48;0.6106;10.823;10.598;-2.142;0.36;-0.43;
2023-07-20 13:10:08.95;0.00:00:00:687;-0.29;0.96;-0.01;12.09;-3.324;10.98;-0.08122;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6112;10.823;10.598;-2.138;0.36;-0.42;
2023-07-20 13:10:08.97;0.00:00:00:707;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08189;53.42;-0.20;94.95;0.68;94.95;12.09;11.48;0.6104;10.823;10.598;-2.144;0.36;-0.43;
2023-07-20 13:10:08.98;0.00:00:00:719;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08186;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.611;10.823;10.598;-2.139;0.36;-0.43;
2023-07-20 13:10:09.00;0.00:00:00:739;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08143;53.42;-0.20;94.94;0.67;94.94;12.09;11.48;0.6112;10.823;10.598;-2.138;0.36;-0.42;
2023-07-20 13:10:09.01;0.00:00:00:749;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08224;53.42;-0.21;94.95;0.68;94.95;12.09;11.48;0.6106;10.824;10.598;-2.142;0.36;-0.43;
2023-07-20 13:10:09.03;0.00:00:00:769;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08348;53.43;-0.21;94.94;0.69;94.94;12.09;11.48;0.6112;10.823;10.598;-2.138;0.36;-0.44;
2023-07-20 13:10:09.05;0.00:00:00:789;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08287;53.42;-0.21;94.94;0.69;94.94;12.09;11.48;0.611;10.823;10.598;-2.140;0.36;-0.43;
2023-07-20 13:10:09.07;0.00:00:00:809;-0.29;0.96;-0.01;12.09;-3.325;10.98;-0.08205;53.42;-0.20;94.94;0.68;94.93;12.09;11.47;0.6121;10.823;10.597;-2.132;0.36;-0.43;
2023-07-20 13:10:09.09;0.00:00:00:829;-0.29;0.96;-0.01;12.09;-3.327;10.98;-0.08283;53.43;-0.21;94.95;0.69;94.95;12.09;11.48;0.6105;10.823;10.598;-2.143;0.36;-0.43;
2023-07-20 13:10:09.12;0.00:00:00:859;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08211;53.42;-0.20;94.94;0.68;94.94;12.09;11.48;0.611;10.823;10.598;-2.140;0.36;-0.43;
2023-07-20 13:10:09.14;0.00:00:00:877;-0.29;0.96;-0.01;12.09;-3.326;10.98;-0.08234;53.42;-0.21;94.94;0.68;94.94;12.09;11.47;0.6119;10.823;10.597;-2.133;0.36;-0.43;
